Category,Recipient Name,Project Purpose,Project Location,Amount Requested ($000),senator,category,recipient_name,project_purpose,project_location,amount_requested_000
Agriculture,"One Family Productions,","Inc. Funding will be used to upgrade equipment at the Star Theatre in Patrick County, Virginia.",Patrick County VA,202.0,Tim Kaine,,,,,
Agriculture,"Town of Pulaski, Virginia","Funding will be used to expand and renovate the Town of Pulaski fire department building to provide fire services to all of Pulaski County, Virginia.",Pulaski County VA,500.0,Tim Kaine,,,,,
Agriculture,"Town of Goshen, Virginia","Funding will be used to renovate an existing building into a community service center in the Town of Goshen, Virginia. Rockbridge County",VA,319.0,Tim Kaine,,,,,
Agriculture,"Russell County, Virginia","Funding will be used to construct a new fire department in Russell County, Virginia.",Russell County VA,423.0,Tim Kaine,,,,,
Agriculture,"Town of Lebanon, Virginia","Funding will be used to purchase a replacement brush truck to serve the Town of Lebanon, Virginia.",Russell County VA,188.0,Tim Kaine,,,,,
Agriculture,AG_Kaine_CDS_Disclosure_24.pdf,"Document created 05/30/2024, 01:35 PM BARC Electric Cooperative Funding will be used to support a land-based mobile radio system that will eliminate communication dead zones in the counties of Bath, Alleghany, Rockbridge, Highland, and Augusta. Statewide/Multiple",Locations VA,1000.0,Tim Kaine,,,,,
Agriculture,Blue Ridge Public,"Television, Inc; DBA, PBS Appalachia Funding will be used to acquire audio-video and broadband equipment to create and disseminate educational content for distance learning, which will benefit educators and students across Southwest Virginia. Statewide/Multiple",Locations VA,750.0,Tim Kaine,,,,,
Agriculture,Tazewell Community,"Foundation Funding will be used to construct a new medical office building in Tazewell County, Virginia.",Tazewell County VA,1500.0,Tim Kaine,,,,,
Agriculture,"Town of Abingdon, Virginia","Funding will be used to purchase a new fire truck to support emergency response in the Town of Abingdon, Virginia.",Town of Abingdon VA,750.0,Tim Kaine,,,,,
Agriculture,"Town of Crewe, Virginia","Funding will be used to repair and renovate the Crewe Community Center in the Town of Crewe, Virginia.",Town of Crewe VA,360.0,Tim Kaine,,,,,
Agriculture,Johnston Memorial,"Hospital, Inc. Funding will be used to expand the lab at the Appalachian Highlands Community Dental Center in the Town of Abingdon, Virginia. Washington County",VA,385.0,Tim Kaine,,,,,
Agriculture,Washington County Fire,"Rescue #1 Funding will be used to purchase a fire rescue engine to serve the community of Washington County, Virginia. Washington County",VA,660.0,Tim Kaine,,,,,
Agriculture,Joint Industrial,"Development Authority of Wythe County Funding will be used to redevelop a blighted property in downtown Wytheville, Virginia.",Wythe County VA,1298.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Rector and Visitors of,the University of Virginia Funding will be used to help construct biomedical research laboratory space to meet research capacity needs in anticipation of substantial research growth associated with the new Manning Institute of Biotechnology.,Charlottesville City VA,1500.0,Tim Kaine,,,,,
"Commerce, Justice, Science",City of Bristol,"Funding will be used to purchase eight (8) new police cars for the City's expanding police department in order to rotate an aging, high-mileage fleet, and reduce maintenance costs.",City of Bristol VA,295.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Hampton University,"Funding will be used to develop a dashboard that includes oceanic, atmospheric, health, and economic data sets from multiple federal agencies to assist in sustainability effort in the Tidewater Peninsula community.",City of Hampton VA,2567.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Hampton University,The purpose of the project is to increase awareness and accessibility of environmental hazard and health data to support localized decision-making and research efforts. City of Newport News,VA,2500.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Augusta County,"P25 UHF Simulcast Radio System to replace failing legacy UHF radio systems in the SAW region, providing all first responders critical communications to protect the citizens of the region. City of Staunton, Augusta County, City",of Waynesboro VA,5935.0,Tim Kaine,,,,,
"Commerce, Justice, Science",City of Virginia Beach,Funding will be used to acquire forensic science equipment to better process evidence in service of investigating crimes. City of Virginia Beach,VA,1000.0,Tim Kaine,,,,,
"Commerce, Justice, Science",City of Colonial Heights,"Police Department To allow Detectives to utilize one computer in the office and vehicle, to allow investigations to be seamless, and to combat child exploitation and human trafficking.",Colonial Heights City VA,40.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Dickenson County,"Funding for an essential migration to P25-compliant interoperable radios and repeaters with AES encryption to provide improved Mission Critical communication between emergency callers, 911 operators, first responders, and interagency departments.",Dickenson County VA,1822.0,Tim Kaine,,,,,
"Commerce, Justice, Science",George Mason University,"Funding will be used to develop domestic violence training tools to assist law enforcement, social workers, and other frontline professionals in responding to domestic violence including utilizing new technology like virtual reality simulations.",Fairfax County VA,1188.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Fairfax County,"Government Funding will be used to install vehicle preemption devices on designated traffic signals along primary travel routes, reducing accidents involving emergency vehicles and civilians and improving emergency response times.",Fairfax County VA,3300.0,Tim Kaine,,,,,
"Commerce, Justice, Science",George Mason University,Funding will be used to analyze and assess the climate change vulnerability and risk of the most susceptible communities in Virginia and produce solutions to enhance resilience to the adverse impacts of climate change.,Fairfax County VA,1944.0,Tim Kaine,,,,,
"Commerce, Justice, Science",CJS_Kaine_CDS_Disclosure_24.pdf,"Document created 05/31/2024, 12:03 PM County of Greene This project will allow the Greene County Sheriff's Office to update all the expired AEDs for patrol cars in its fleet.",Greene County VA,28.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Virginia Air and Space,"Center Funding will be used to foster inspiration and excitement about STEM content and careers by connecting thousands of middle school students, educators, families, and community members to exciting NASA-focused STEM learning experiences.",Hampton City VA,891.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Virginia Biotechnology,"Park Corporation (dba Activation Capital) Funding will be used to advance and promote life sciences research, commercialization and the bioscience ecosystem.",Henrico County VA,2000.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Virginia Union,"University The VTOL vehicle is constructed with a proprietary composite, frost-resistant frame and an in-flight-rechargeable battery power to an electric motor. The goal is to perfect a sustainable, zero-emissions, multi-application VTOL.",Henrico County VA,4500.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Virginia Union,"University Funding will assist VUU's planned research initiatives, including projects in vertical take-off and landing (VTOL), alternative energy production and storage, and resilience, require a modernized and secure environment for the high-technology scientific investigations that will be performed.",Henrico County VA,6000.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Virginia Union University,Funding will be used to study the viability of utilizing graphene-based polymer nanocomposites to create more climate resilient and affordable housing.,Henrico County VA,1000.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Town of Leesburg,"A mobile command unit will facilitate coordination with public safety agencies in response to NCR large-scale disasters, provide backup to the emergency communications center, and serve community policing outreach/events.",Loudoun County VA,400.0,Tim Kaine,,,,,
"Commerce, Justice, Science",New River Valley,"Emergency Communications Regional Authority (NRVECRA) P25 700/800MHz Public Safety Radio System to replace failing legacy UHF radio systems in the NRVECRA region, providing all first responders with critical communications to protect the citizens of the region.",Montgomery County VA,4706.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Virginia Polytechnic,"Institute & State University Funding will be used to enhance the safety and testing of nuclear reactors by incorporating novel detection systems, advanced physics modeling, and immersive virtual reality visualization.",Montgomery County VA,2000.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Urban League of,"Hampton Roads Funding will be used to provide education, employment, and mentorship services to incarcerated and formerly incarcerated citizens and their families.",Norfolk City VA,1200.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Old Dominion University,"Funding will be used to purchase the equipment and build the infrastructure to establish the Center for Excellence in Trustworthy Artificial Intelligence at Old Dominion University in Norfolk, Virginia in order to carry out research and education demands related to AI.",Norfolk City VA,1500.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Old Dominion University,Funding will help develop and implement a certificate program to provide engineering training to individuals interested in pursuing careers in autonomous systems.,Norfolk City VA,750.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Virginia State University,"Funding will be used to develop a biopharmaceutical workforce laboratory program in Petersburg, VA, near the Advanced Pharmaceutical Manufacturing Tech Hub, to address the industry demand for skilled and diverse personnel.",Petersburg City VA,1500.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Virginia State University,"Funding will help establish a pioneering Center for Generative AI and Industrial Cybersecurity at VSU, focusing on research and education to tackle AI’s ethical issues and cybersecurity challenges.",Petersburg City   VA,2500.0,Tim Kaine,,,,,
"Commerce, Justice, Science",CJS_Kaine_CDS_Disclosure_24.pdf,"Document created 05/31/2024, 12:03 PM Prince Edward County P25 Phase 2 UHF Simulcast Radio System to replace failing legacy UHF systems within Prince Edward County, providing all first responders critical communications to improve response times and protect the citizens of the County. Prince Edward County",VA,1695.0,Tim Kaine,,,,,
"Commerce, Justice, Science",NextUp RVA,Funding will be used to address barriers to out-of-school time programs for youth and families through community-driven solutions in order to improve school attendance and youth mental health and reduce gun violence.,Richmond City VA,640.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Stafford County,This project will replace 173 mobile radios utilized in Stafford County Sheriff patrol vehicles.,Stafford County VA,1986.0,Tim Kaine,,,,,
"Commerce, Justice, Science",FailSafe-ERA,Funding will be used to provide pre-and post-release reentry programs. Statewide/Multiple,Locations VA,460.0,Tim Kaine,,,,,
"Commerce, Justice, Science",VTVCARE,Funding will produce an informative 30-45 minute video on the Virginia Mass Violence Care Fund model for supporting victims healing after mass violence and promote replication of the model to support survivors nationwide. Statewide/Multiple,Locations VA,35.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Latisha's House,"Foundation Funding will be used to support and rehabilitate human trafficking survivors in Virginia, focusing on pregnant women and mothers. Statewide/Multiple",Locations VA,650.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Middle Peninsula,Planning District Commission Funding will be used to purchase and deploy water-level monitoring stations to establish the Chesapeake Bay's most robust network of scientific gauges in the Middle Peninsula region of Virginia. Statewide/Multiple,Locations VA,802.0,Tim Kaine,,,,,
"Commerce, Justice, Science",The Edward Brown,"Foundation The Edward Brown Foundation's gang prevention project aims to reduce gang involvement among youth in Portsmouth and Newport News, VA, through evidence-based interventions and community outreach efforts. Statewide/Multiple",Locations VA,612.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Virginia Hospital,Research and Education Foundation (d/b/a VHHA Foundation) Funds will be used to serve prenatal and postpartum women experiencing intimate partner violence and their children. Statewide/Multiple,Locations VA,1956.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Children’s Hospital of,"The King’s Daughters (CHKD) Funding will support programming, training, and equipment at its Child Advocacy Center in an effort to expand its child abuse and neglect services to meet the ever-increasing need for care and remain at the forefront of the latest evidence-based practices and trauma-informed treatments. Statewide/Multiple",Locations VA,750.0,Tim Kaine,,,,,
"Commerce, Justice, Science",The Planning Council,Funding will be used to reduce gun violence by designing a curriculum to improve conflict resolution skills in children. Statewide/Multiple,Locations VA,400.0,Tim Kaine,,,,,
"Commerce, Justice, Science",An Achievable Dream,"Funding will be used for activities to augment our efforts to disrupt the School-to-Prison pipeline, including enhanced mental health; extended day programming; enrichment activities to broaden students’ horizons; and classes to teach social and emotional skills preparing students for success. Statewide/Multiple",Locations VA,1994.0,Tim Kaine,,,,,
"Commerce, Justice, Science",Suffolk,Commonwealth's Attorney's Office Funding will provide training and education for at-risk youth and include opportunities for positive law enforcement connections to prevent and/or reduce juvenile court contact.,Suffolk City VA,73.0,Tim Kaine,,,,,
"Commerce, Justice, Science",National Children’s,"Museum Funding will support the National Children’s Museum’s exhibits and PreK-5 educational programming, encouraging early STEM skill building.",Washington DC,1175.0,Tim Kaine,,,,,
Energy & Water Development,Requested,"($000) George Mason University Funding will be used to install a 350 kW array on top of the Fuse building at George Mason University’s Arlington County, Virginia campus.",Arlington County VA,2000.0,Tim Kaine,,,,,
Energy & Water Development,City of,"Alexandria, Virginia Funding will be used to establish an emergency shelter back-up energy generation system in the City of Alexandria, Virginia.",City of Alexandria VA,1500.0,Tim Kaine,,,,,
Energy & Water Development,Army Corps of,"Engineers (Civil) Funding will be used to continue Preconstruction, Engineering, and Design (PED) activities for the North Landing Bridge Replacement project. City of Chesapeake",VA,2000.0,Tim Kaine,,,,,
Energy & Water Development,Hampton,University Funding will be used to support experimental basic research into a non-resonant divertor to assist in the development of nuclear fusion reactors.,City of Hampton VA,2500.0,Tim Kaine,,,,,
Energy & Water Development,Army Corps of,"Engineers (Civil) Funding will be used to complete Preconstruction, Engineering, and Design (PED) activities for the Elizabeth River and Southern Branch Deepening project.?",City of Norfolk VA,4000.0,Tim Kaine,,,,,
Energy & Water Development,Army Corps of,Engineers (Civil) Funding will be used to perform necessary annual maintenance dredging of Norfolk Harbor and the Elizabeth River and raise the dikes needed to restore capacity within the cells of Craney Island.,City of Norfolk VA,55305.0,Tim Kaine,,,,,
Energy & Water Development,Army Corps of,"Engineers (Civil) Funding will be used to design beach renourishment activities for beaches in the City of Norfolk, Virginia.",City of Norfolk VA,500.0,Tim Kaine,,,,,
Energy & Water Development,Army Corps of,Engineers (Civil) Funding will be used to conduct necessary maintenance dredging activities to maintain the lower and middle James River navigation project.,City of Norfolk VA,12587.0,Tim Kaine,,,,,
Energy & Water Development,Army Corps of,"Engineers (Civil) Funding will be used to perform channel surveys, update permits, and conduct design work for proposed maintenance dredging of Knitting Mill Creek.",City of Norfolk VA,2525.0,Tim Kaine,,,,,
Energy & Water Development,Army Corps of,"Engineers (Civil) Funding will be used to remove hazardous drift five days per week to prevent collisions with hulls and critical appendages and sinking of military, commercial, and recreational craft, with capability to provide on-call response to hazards seven days per week.",City of Norfolk VA,8343.0,Tim Kaine,,,,,
Energy & Water Development,Army Corps of,"Engineers (Civil) Funding will be used to initiate a General Reevaluation Report to re-examine potential options to fortify communities in the City of Norfolk, Virginia as part of Norfolk’s Coastal Storm Risk Management project.",City of Norfolk VA,500.0,Tim Kaine,,,,,
Energy & Water Development,Army Corps of,"Engineers (Civil) Funding will be used to operate and provide for staff to maintain security and provide minimum maintenance including utility costs at the Albemarle and Chesapeake Canal bridge, lock, waterway, and reservation for commerce traffic and navy military fuel barges 24 hours per day, seven days per week.",City of Norfolk VA,5446.0,Tim Kaine,,,,,
Energy & Water Development,Army Corps of,"Engineers (Civil) Funding will be used to continue development of the Virginia Beach Coastal Storm Risk Management feasibility study that will address the risk caused by storm surge flooding, waves, and erosion, and formulate plans to manage the impacts coastal storms have on the City of Virginia Beach, Virginia. City of Virginia",Beach VA,1500.0,Tim Kaine,,,,,
Energy & Water Development,Army Corps of,Engineers (Civil) Funding will be used for maintenance dredging of the critical ebb shoal in the Rudee Inlet. City of Virginia,Beach VA,755.0,Tim Kaine,,,,,
Energy & Water Development,Army Corps of,"Engineers (Civil) Funding will be used to continue construction on a wastewater infrastructure project in Lee County, Virginia.",Lee County VA,15750.0,Tim Kaine,,,,,
Energy & Water Development,EWD_Kaine_CDS_Disclosure_24.pdf,"Document created 06/20/2024, 02:12 PM Army Corps of Engineers (Civil) Funding will be used to develop plans and specifications and award a maintenance dredging contract to restore Davis Creek in Mathews County, Virginia to required dimensions.",Mathews County VA,4477.0,Tim Kaine,,,,,
Energy & Water Development,Energy DELTA,Lab Funding will be used to create strategies to use water from inundated underground coal mines to cool advanced nuclear reactors and identify locations for deployment that overcome geotechnical concerns in the coalfields of Virginia. Statewide/Multiple,Locations VA,1415.0,Tim Kaine,,,,,
Energy & Water Development,"ForKids, Inc.","Funding will be used to support the installation of solar panels in Chesapeake and Suffolk, Virginia. Statewide/Multiple",Locations VA,364.0,Tim Kaine,,,,,
Financial Services & General Government,The Advancement,"Foundation To fund a business accelerator in Virginia's underserved-rural communities focused on training, immersive practicums, leveraging higher education, business space and technologies. Buena Vista, Clifton Forge, and Botetourt",VA,943.0,Tim Kaine,,,,,
Financial Services & General Government,VA Black Business,"Directory To enhance economic development and support Black-owned businesses through comprehensive programs including training, mentorship, and resources.",Fredericksburg VA,500.0,Tim Kaine,,,,,
Financial Services & General Government,America's Routes,Funding will be used to help the Piedmont Historical Association and America’s Routes to transcribe and contextualize historical documents indicating the planning reasons for how/why Loudoun County’s road and bridge infrastructure came to be sited where it was.,Paeonian Springs VA,158.0,Tim Kaine,,,,,
Financial Services & General Government,Friends of Virginia,"Central State Hospital Funding will be used to digitalize records of Virginia Central State Hospital to ensure preservation and increase public awareness, access, and analysis of the endangered digital archives from the first mental hospital for African Americans in the United States, circa 1868 –1968.",Petersburg City VA,149.0,Tim Kaine,,,,,
Financial Services & General Government,City of Roanoke,Funding for Project RBE will provide specialized biotech equipment to lower the barrier of entry for small businesses within Roanoke's health and life sciences sector.,Roanoke City VA,1000.0,Tim Kaine,,,,,
Financial Services & General Government,National Veterans,"Small Business Coalition - Education Foundation (NVSBC-EF) Funding will expand and broaden the National Veteran Small Business Coalition-Education Foundation's community economic development programs, knitting regional Veteran business owner ecosystems together, while leveraging the aid and involvement of large service provider supporters. Statewide/Multiple",Locations VA,1000.0,Tim Kaine,,,,,
Financial Services & General Government,Virginia Polytechnic,"Institute & State University To construct a controlled environment agriculture facility in Winchester, Virginia to assist small agricultural businesses in helping increase harvest productivity by diversifying agricultural practices.",Winchester VA,2000.0,Tim Kaine,,,,,
Homeland Security,"City of Hopewell,","Virginia Funding will be used to replace damaged and corroded piping and resolve utility conflicts to support the long-term mitigation of flood risks surrounding Heretick Avenue in the City of Hopewell, Virginia.",City of Hopewell VA,1215.0,Tim Kaine,,,,,
Homeland Security,"City of Portsmouth,","Virginia Funding will be used to replace and install culverts to mitigate flood risk in the Cities of Portsmouth and Chesapeake, Virginia.",City of Portsmouth VA,3333.0,Tim Kaine,,,,,
Homeland Security,Middle Peninsula,"Planning District Commission Funding will be used to purchase generators to provide continued power and support to Emergency Operations Centers located in the counties of Essex, Middlesex, Mathews, and Gloucester, Virginia. Statewide/Multiple",Locations VA,548.0,Tim Kaine,,,,,
"Interior, Environment",Rivanna Water and,"Sewer Authority Funding will be used to replace deteriorated equipment at the South Rivanna Water Plant to provide clean and safe drinking water for the City of Charlottesville and Albemarle County, Virginia.",Albemarle County VA,880.0,Tim Kaine,,,,,
"Interior, Environment",Chesapeake & Ohio,"Historical Society To preserve and restore to an operational condition, a historic railroad car that transported a US President in connection with the planning and building of the Cold War Bunker.",Alleghany County VA,500.0,Tim Kaine,,,,,
"Interior, Environment","Town of Altavista,","Virginia Funding will be used to refurbish the wastewater treatment facility in the Town of Altavista, Virginia.",Campbell County VA,2815.0,Tim Kaine,,,,,
"Interior, Environment",City of Alexandria,"The project seeks to renovate and create ADA accessibility to the Freedom House Museum, the 1828-1861 Alexandria Slave Pen and center of the Domestic Slave trade in Alexandria and the US.",City of Alexandria VA,2500.0,Tim Kaine,,,,,
"Interior, Environment",City of Colonial,"Heights Funding will be used to replace approximately 3,700 linear feet of existing galvanized water line in the City of Colonial Heights, Virginia. City of Colonial",Heights VA,1612.0,Tim Kaine,,,,,
"Interior, Environment","City of Galax,","Virginia Funding will be used to replace an existing water storage tank in the City of Galax, Virginia.",City of Galax VA,2400.0,Tim Kaine,,,,,
"Interior, Environment","City of Hampton,",Virginia Sewer replacement of a failing sewer system within an historically underserved community. Moving sewers from backyards to the front of the houses on Cherry and Pear Avenues.,City of Hampton VA,1680.0,Tim Kaine,,,,,
"Interior, Environment",City of Newport,"News, Virginia Funding will be used to replace drainage infrastructure in the City of Newport News, Virginia. City of Newport",News VA,1500.0,Tim Kaine,,,,,
"Interior, Environment",City of Newport,"News, Virginia Funding will be used to reduce the possibility of sanitary sewer overflows at a pump station located within the watershed of the James River to improve the reliability of wastewater conveyance to an estimated 3,00 people daily. City of Newport",News VA,1588.0,Tim Kaine,,,,,
"Interior, Environment","City of Petersburg,","Virginia The purpose of the project is to implement an accelerated program to assess and rehabilitate deteriorating large diameter sewer infrastructure, reducing inflow, infiltration, and risk of sanitary sewer overflows. City of Petersburg",VA,4000.0,Tim Kaine,,,,,
"Interior, Environment","City of Petersburg,","Virginia This project is to make improvements to the City's water meters to increase accuracy, improve staffing efficiency, recover revenue and reduce non-revenue water, water losses and customer complaints. City of Petersburg",VA,3148.0,Tim Kaine,,,,,
"Interior, Environment","City of Portsmouth,",Virginia Funding will be used to correct hydraulic issues and eliminate sanitary sewer overflows in an industrial corridor near the Norfolk Naval Shipyard. City of Portsmouth,VA,1687.0,Tim Kaine,,,,,
"Interior, Environment","City of Suffolk,","Virginia Replacement/relocation of a deteriorated 15-inch vitrified clay gravity sanitary sewer trunk line that abuts a stream flowing to the Nansemond River, a tributary of the Chesapeake Bay.",City of Suffolk VA,3000.0,Tim Kaine,,,,,
"Interior, Environment","City of Suffolk,",Virginia The project purpose is to replace failing sanitary sewer and potable water mains. Upon completion the project will have eliminated potential sewer overflows and removed any existing lead water services,City of Suffolk VA,3000.0,Tim Kaine,,,,,
"Interior, Environment",INTERIOR_Kaine_CDS_Disclosure_24.pdf,"Document created 05/30/2024, 04:38 PM Hampton Roads Sanitation District Funding will be used to construct solids handling components at the Onancock Wastewater Treatment Plant to help HRSD achieve process and water quality goals. City of Virginia",Beach VA,6625.0,Tim Kaine,,,,,
"Interior, Environment",City of Virginia,"Beach, Virginia This project will provide stormwater infrastructure improvements within the Lake Bradford/Chubb Lake area. The project includes a new stormwater pump station, stormwater infrastructure improvements as well as nature-based solutions. City of Virginia",Beach VA,5000.0,Tim Kaine,,,,,
"Interior, Environment","City of Williamsburg,","Virginia Funding will be used to make improvements to collection sewers in the City of Williamsburg, Virginia. City of Williamsburg",VA,800.0,Tim Kaine,,,,,
"Interior, Environment",City of Winchester,"Funding will be used to construct a raw water reservoir to serve residents in and around the City of Winchester, Virginia. City of Winchester",VA,2000.0,Tim Kaine,,,,,
"Interior, Environment",County of Greene,This project will construct an adequate water tower in the Town of Stanardsville for adequate drinking water and fire flow to the community.,County of Greene VA,5625.0,Tim Kaine,,,,,
"Interior, Environment",Greensville County,Funding will complete engineering and construction for waste water collection services in a portion of the County that is targeted for commercial development. Greensville County,VA,1360.0,Tim Kaine,,,,,
"Interior, Environment",Halifax County,"Service Authority The Berry Hill Waterline Extension and Resiliency Project will assure increased service capacity and resiliency to an underserved residential area and provide a critical loop to another pressure zone serving a major residential, commercial, and industrial corridor.",Halifax County VA,3750.0,Tim Kaine,,,,,
"Interior, Environment","Henrico County,",Virginia Funding will be used to retire private wells to provide clean drinking water to residents near the White Oak Swamp Watershed.,Henrico County VA,8000.0,Tim Kaine,,,,,
"Interior, Environment","Henry County,",Virginia The project will make public water supply service available to approximately 280 +/- homes in an area with a high incidence of groundwater well contamination from Total Coliform.,Henry County VA,8000.0,Tim Kaine,,,,,
"Interior, Environment",Isle of Wight County,Funding will be used to provide a safer and more reliable drinking water source to the Clyde’s Dale Mobile Home Park and the County’s Heritage Park. Isle of Wight County,VA,940.0,Tim Kaine,,,,,
"Interior, Environment",Isle of Wight County,The project will eliminate again or failing private septic systems on a neighborhood scale and improve the quality of life in the community by preventing septic failures. Isle of Wight County,VA,2650.0,Tim Kaine,,,,,
"Interior, Environment","Isle of Wight County,",Virginia Funding will be used to replace lead service lines in the Camptown Community Water System to provide safe drinking water and reliable infrastructure of public water users. Isle of Wight County,VA,400.0,Tim Kaine,,,,,
"Interior, Environment","Town of Leesburg,","Virginia Funding will be used to improve water quality in the Town Branch Stream, to reduce the discharge pollutants such as sediment, nitrogen, and phosphorus into area waterways that feed into the Chesapeake Bay, and to protect adjoining residential properties from flooding and erosion.",Loudoun County VA,1500.0,Tim Kaine,,,,,
"Interior, Environment","Town of Stuart,","Virginia To develop water and sewer infrastructure for the Patrick County Public Service Authority, which is provided wholesale water and sewer capacity by the Town of Stuart, VA.",Patrick County VA,1450.0,Tim Kaine,,,,,
"Interior, Environment",City of Danville,"Funding will be used to extend the existing water main to serve the Southern Virginia Mega Site at Berry Hill in Pittsylvania County, Virginia. Pittsylvania County",VA,2000.0,Tim Kaine,,,,,
"Interior, Environment","Pittsylvania County,","Virginia Funding will be used to replace the HVAC system, make significant electrical upgrades, install energy-efficient windows and make cosmetic repairs to preserve the historical integrity of the Moses Building. Pittsylvania County",VA,500.0,Tim Kaine,,,,,
"Interior, Environment",Prince Edward,"County, Virginia To provide a new reliable, secure drinking water source for Prince Edward County, the Town of Farmville, and surrounding communities in addition to three state facilities. Prince Edward",County VA,3980.0,Tim Kaine,,,,,
"Interior, Environment",INTERIOR_Kaine_CDS_Disclosure_24.pdf,"Document created 05/30/2024, 04:38 PM Prince George County, Virginia Funding will be used to design the replacement of approximately 21,000 linear feet of asbestos cement waterlines in Prince George County, Virginia. Prince George",County VA,800.0,Tim Kaine,,,,,
"Interior, Environment",Prince George,"County, Virginia Funding will be used to provide complete redundancy in water supply for ninety percent of the county’s public water customers and reduce the potential for disruption in service. Prince George",County VA,4000.0,Tim Kaine,,,,,
"Interior, Environment",Prince George,"County, Virginia Funding will be used for the construction of new storage and pumping facilities to replace current facilities that are undersized to meet current demands. Prince George",County VA,4500.0,Tim Kaine,,,,,
"Interior, Environment",Maury Service,"Authority (MSA) Funding will be used to rehabilitate a wastewater storage tanks and associated equipment in Rockbridge County, Virginia. Rockbridge County",VA,1000.0,Tim Kaine,,,,,
"Interior, Environment",Shrine Mont,Funding will be used for the renovation of historic buildings at Shrine Mont in Orkney Springs. Shenandoah County,VA,480.0,Tim Kaine,,,,,
"Interior, Environment","Stafford County,",Virginia Funding will be used to increase conveyance capacity of a water main from the west side of I-95 to Richmond Highway to tie into the existing water main line and support growth in northeastern Stafford County.,Stafford County VA,3522.0,Tim Kaine,,,,,
"Interior, Environment",Metropolitan,"Washington Council of Governments Funding will be used to identify and communicate investment and policy needs to increase land access, preservation, and resilience around our nation’s capital, the Commonwealth of Virginia, and the Chesapeake Bay. Statewide/Multiple",Locations VA,1500.0,Tim Kaine,,,,,
