"Amendment #",Patron,Department,Agency,Description,"GF Dollars FY2025","GF Dollars FY2026","NGF Dollars FY2025","NGF Dollars FY2026"," GF Positions FY2025"," GF Positions FY2026"," NGF Positions FY2025"," NGF Positions FY2026","Language",Explanation,
114 #2h,"Askew","Commerce and Trade","Virginia Tourism Authority","Hampton Roads African American Heritage Trail project","","$100,000",,,,,,,"Page 131, line 2, after 'N.' insert '1.' Page 131, after line 4, insert: '2. Out of this appropriation, $100,000 the second year from the general fund is provided for the City of Norfolk to support the Hampton Roads African American Heritage Trail project.'  ","<p>(This amendment provides $100,000 to the City of Norfolk to support the Hampton Roads African American Heritage Trail project.)</p>",
122 #1h,"Askew","Education: Elementary and Secondary","Department of Education, Central Office Operations","Professional Development Tracking Platform","","$500,000",,,,,,,"Page 150, after line 19, insert:'H. Out of this appropriation, $500,000 the second year from the general fund to support the development and implementation of a comprehensive research-based program to support, strengthen, and track teacher professional development.  This program shall include a custom online dashboard to manage professional development selection and attendance of teachers, collect and report data on participating teachers and their students' outcomes, and support the statewide collaboration of educators.' ","<p>(This amendment is self-explanatory.)</p>",
124 #20h,"Askew","Education: Elementary and Secondary","Direct Aid to Public Education","Teach for America","","$250,000",,,,,,,"Page 153, line 46, strike '$500,000' and '$500,000' and insert: '$500,000' and '$750,000'.Page 159, line 2, strike '$500,000' and '$500,000' and insert: '$500,000' and '$750,000'.Page 159, line 5, after 'schools.' insert: 'The additional support in the second year shall be used to grow teacher placement in hard-to-staff schools in Northern Virginia and explore an expansion to the Hampton Roads area.' ","<p>(This amendment provides an additional $250,000 the second year from the general fund for Teach for America, for a total of $750,000 in fiscal year 2026. These additional funds will be used to address teacher shortages in the Northern Virginia area and to plan for expansion of the program into the Hampton Roads area.)</p>",
124 #23h,"Askew","Education: Elementary and Secondary","Direct Aid to Public Education","HB 1695 - Cardiac Emergency Response Plan and Athletic Emergency Action Plan Grants",,,,,,,,,"Page 154, after line 7, insert:'Cardiac Emergency Response Plan and Athletic Emergency Action Plan Grants $0 $250,000'.Page 165, after line 26, insert:'GGG. Out of this appropriation, $250,000 the second year from the general fund is provided to support grants to school divisions pursuant to House Bill 1695.' ","<p>(This amendment provides $250,000 the second year from the general fund to provide grants as provided in House Bill 1695 for high-need public schools to assist in the development or implementation of cardiac emergency response plans and athletic emergency action plans or to support activities or equipment to promote related preparedness.)</p>",
124 #24h,"Askew","Education: Elementary and Secondary","Direct Aid to Public Education","eMediaVA","","$300,000",,,,,,,"Page 153, line 7, strike '$1,200,000' and '$1,200,000' and insert:'$1,200,000' and '$1,500,000'.Page 162, line 2, strike '$1,200,000' and '$1,200,000' and insert:'$1,200,000' and '$1,500,000'.Page 162, line 15, after 'shall', insert:'be determined by July 1 of each year in consultation with division superintendents or their designees and shall'.Page 162, line 18, after 'incorporate', strike the remainder of the line.Page 162, line 19, strike 'to assess'. ","<p>(This amendment increases support for eMediaVA by $300,000 the second year, for a total of $1.5 million in fiscal year 2026. The amendment also establishes a process and timeline to determine school division content needs.)</p>",
130 #9h,"Askew","Education: Higher Education","State Council of Higher Education for Virginia","SCHEV - Undergraduate TAG Awards Maintain $5,250 Level","","$10,000,000",,,,,,,"","<p>(This amendment requests funding to maintain the award at $5,250 in fiscal year 2026 as authorized in the 2024 Session.)</p>",
163 #3h,"Askew","Education: Higher Education","Norfolk State University","NSU - Public and Private HBCU Collaboration","","$10,000,000",,,,,,,"","<p>(This amendment requests funding to continue and expand the ongoing HBCU collaboration that includes Norfolk State University, Virginia State University, Hampton University, and Virginia Union University.) </p>",
217 #1h,"Askew","Education: Higher Education","Virginia State University","VSU - Public and Private HBCU Collaboration","","$10,000,000",,,,,,,"","<p>(This amendment requests funding to continue and expand the ongoing HBCU collaboration that includes Norfolk State University, Virginia State University, Hampton University, and Virginia Union University.) </p>",
353 #1h,"Askew","Labor","Department of Professional and Occupational Regulation","HB 1693: Training for Real Estate Appraisers",,,"","$200,000","","","","1.00","Page 462, after line 39, insert: 'D. Out of this appropriation $200,000 the second year from the nongeneral fund is provided to effectuate the provisions of House Bill 1693 of the 2025 General Assembly Session.' ","<p>(This amendment provides $200,000 and 1 position to the Department of Professional and Occupational Regulation to support an annual audit by the Fair Housing Board of any anti-discrimination training course administered or approved by the Real Estate Appraiser Board.)</p>",
354 #5h,"Askew","Labor","Department of Workforce Development and Advancement","HR Strong Workforce Training Initiative ","","$1,000,000",,,,,,,"Page 463, line 10, strike second '$2,000,000' and insert '$3,000,000'. ","<p>(This amendment provides $1.0 million for the Hampton Roads Workforce Council's HR Strong workforce training initiative severing the maritime industry.)</p>",
359 #15h,"Askew","Natural and Historic Resources","Department of Conservation and Recreation","Environmental Literacy","","$750,000",,,,,,,"Page 470, line 18, strike the second '$350,000' and insert '$1,100,000'. ","<p>(This amendment provides an additional $750,000 from the general fund in fiscal year 2026 for environmental literacy programs and professional development supported by the Department of Conservation and Recreation.)</p>",
371 #20h,"Askew","Natural and Historic Resources","Department of Historic Resources","Virginia African American Cultural Center","","$3,000,000",,,,,,,"Page 487, after line 47, insert:'EE. Out of the amounts in this item, $3,000,000 the second year from the general fund is provided to the City of Virginia Beach to support the Virginia African American Cultural Center.' ","<p>(This amendment provides $3 million from the general fund in fiscal year 2026 to support the Virginia African American Cultural Center in the City of Virginia Beach.)</p>",
398 #2h,"Askew","Public Safety and Homeland Security","Department of Emergency Management","HB 1992 - Virginia Emergency Management Preparedness and Capabilities Fund","","$5,250,000",,,,,,,"Page 516, after line 19, insert:'F. Out of this appropriation, $5,250,000 the second year from the general fund is provided for the Virginia Emergency Management Capabilities Fund.' ","<p>(This amendment provides $5.3 million from the general fund in fiscal year 2026 for the Virginia Emergency Management Preparedness Fund pursuant to House Bill 1992. The Fund would be used to provided grants to political subdivisions to assist with the cost of emergency management and preparedness.)</p>",
406 #1h,"Askew","Public Safety and Homeland Security","Department of Fire Programs","HB 2494 - Emergency Response Exposure Grant Fund","","$500,000",,,,,,,"Page 521, after line 32, insert:'B. Out of this appropriation, $500,000 the second year from the general fund is provided to the Emergency Response Exposure Grant Fund to initiate a pilot program with the City of Virginia Beach and provide grants to other eligible localities consistent with the provisions of § 9.1-600, Code of Virginia.' ","<p>(This amendment provides $500,000 from the general fund in fiscal year 2026 for the Emergency Response Exposure Grant Fund pursuant to House Bill 2494, which would provide grants to eligible localities to defray the costs of cancer screenings and out-of-pocket health care expenses for government employees responding to emergencies where toxic materials are present.)</p>",
433 #3h,"Askew","Transportation","Department of Rail and Public Transportation","One-Time GF Support for Transit Shortfalls","","$50,000,000",,,,,,,"Page 547, after line 20, insert:'H, Out of the amounts included in this item, $50,000,000 from the general fund the second year is directed to the Commonwealth Mass Transit Fund to support the operating costs and capital purposes of transit providers who receive support through the MERIT program.'    ","<p>(This amendment provides $50.0 general fund in fiscal year 2026 to address a shortfall in support for public transit programs.)</p>",
86 #2h,"Austin","Agriculture and Forestry","Department of Agriculture and Consumer Services","HB 2303 - Large Animal Veterinarian Grant Program","","$450,000",,,,,,,"Page 96, after line 24, insert:'M. Out of the amounts in this item, $450,000 the second year from the general fund is provided for the Large Animal Veterinary Grant Program.' ","<p>(This amendment provides $450,000 from the general fund in fiscal year 2026 for the Large Animal Veterinary Grant Program pursuant to House Bill 2303. A companion amendment to the Department of Health removes funding a language proposed in House Bill 1600 as introduced to establish Large Animal Veterinary Loan Repayment Program.)</p>",
124 #9h,"Austin","Education: Elementary and Secondary","Direct Aid to Public Education","Virginia Alliance of YMCAs",,,,,,,,,"Page 162, line 3, strike 'pilot'.Page 162, line 4, after 'opportunities', insert:'in curriculum based learning loss programs through'Page 162, line 5, after 'Academies' insert:'or after school programs'. ","<p>(This amendment allows the existing appropriation for YMCA Power Scholars Academy to be used for after school learning loss programs. Currently, funds are limited to the summer Power Scholars program.)<br></p>",
125.10 #2h,"Austin","Education: Elementary and Secondary","Direct Aid to Public Education","Early Childhood Education Funding","","$160,000,000",,,,,,,"Page 201, line 48, strike '$274,334,472' and insert '$394,334,472'.Page 202, line 5, strike '$38,837,720' and '$38,837,720' and insert:'$38,837,720' and '$48,837,720'.Page 202, after line 12, insert:'Public-Private Supply Building $0 $30,000,000'.Page 204, after line 30, insert:'5. Of the amounts designated for the Mixed Delivery Grant Program, $10,000,000 shall be used for building the supply of services and expansion of the existing public-private cost-sharing model pilot to incentivize employers to contribute toward their employee's early childhood care and education (ECCE) costs and to maximize state funding for ECCE services.'Page 209, after line 45, insert:'J. Public-Private Supply Building.Funds shall be provided to pilot public-private supply-building strategies to increase the supply of high-quality ECCE services. The pilot shall be administered by the Virginia Early Childhood Foundation (VECF), in consultation with the Virginia Business Roundtable for Early Education and the relevant regional entities established pursuant to subsection D of § 22.1-289.05 of the Code of Virginia, with the objective of increasing the supply of quality early learning spaces to support working families, economic development opportunities, and community prosperity. VECF shall develop guidelines for expansion grants and incentives that address unique regional ECCE supply challenges, prioritizing supply and capacity building in areas of greatest need.' ","<p>(This amendment provides $160.0 million the second year from the general fund to address several early childhood care and education (ECCE) priorities: (i) $120.0 million is provided to meet current and projected parent demand for Child Care Subsidy Program slots; (ii) $10.0 million is provided to expand public-private cost-sharing pilots through the Mixed Delivery program; and (iii) $30.0 million is provided for a pilot program to increase the supply of ECCE services through site expansion and capacity building incentive grants.)</p>",
130 #5h,"Austin","Education: Higher Education","State Council of Higher Education for Virginia","SCHEV - Workforce Credential Grants","","$5,000,000",,,,,,,"","<p>(This amendment requests increased funding for the New Economy Workforce Credential Grant program,)</p>",
206 #1h,"Austin","Education: Higher Education","Virginia Military Institute","VMI - Operating Support","","$785,000",,,"","9.00","","","","<p>(This amendment requests funding for key positions  to enhance operations and planning across the Institute. The positions include: 1) a senior-level position, reporting directly to the Superintendent, to formulate the Institute’s Forging 21st Century Leaders strategic plan, 2)  a position to enhance operations, planning, and coordination across departments, facilities, and human capital on Post to better serve the goals of the Institute and public, and 3) positions to provide support in  VMI’s 58,000 square foot Aquatic Center, now fully operational and supporting unique ROTC training opportunities. This includes an assistant director, three trades technicians, and three custodians needed to optimize the functions of this facility.)</p>",
206 #2h,"Austin","Education: Higher Education","Virginia Military Institute","VMI - Enhance Academic Programs","","$256,000",,,,,,,"","<p>(This amendment requests funding to enhance academic program that include (1) a faculty position to teach a three-credit hour course in Civics titled “American Constitutional History”, (2) an Assistant Director position in the Office of Global Education, and (3) a Summer Undergraduate Entrepreneurship Program.)</p>",
211 #1h,"Austin","Education: Higher Education","Virginia Polytechnic Institute and State University","VT - Increased enrollment at Virginia Tech Carilion School of Medicine (VTCSOM) ","","$6,300,000",,,,,,,"","<p>(This amendment requests funding to support enrollment growth at the Virginia Tech Carilion School of Medicine (VTCSOM).  Funding will support expansion of faculty and support staff, development of accelerated pathways  to completion, and ability to provide for lower tuition for in-state students.)</p>",
211 #2h,"Austin","Education: Higher Education","Virginia Polytechnic Institute and State University","VT - Increase in-state slots for Vet Med","","$543,010",,,,,,,"","<p>(This amendment requests funding to increase the number of slots from fifty to sixty for Virginia students applying for Virginia Maryland Regional College of Veterinary Medicine. This is a recommendation of the House Joint 43 (2024 General Assembly) study to make recommendations for addressing the shortage of large animal veterinarians.)</p>",
212 #1h,"Austin","Education: Higher Education","Virginia Polytechnic Institute and State University","VT - Increased financial aid for Virginia Tech Carilion School of Medicine (VTCSOM) ","","$2,000,000",,,,,,,"","<p>(This amendment requests funding to support financial aid at the Virginia Tech Carilion School of Medicine (VTCSOM).)</p>",
236 #1h,"Austin","Education: Higher Education","Roanoke Higher Education Authority","RHEA - Full-time Porter","","$72,447",,,,,,,"","<p>(This amendment requests funding to support a full-time day porter is needed to properly maintain our facilities and provide the best customer service possible for our students, staff, and visitors.)</p>",
236 #2h,"Austin","Education: Higher Education","Roanoke Higher Education Authority","RHEA - Full-time Security Guard and Additional Contract Hours","","$130,831",,,,,,,"","<p>(This amendment requests funding to support hiring a full-time security guard as the Center continues to grow and increase programming.  In addition, the funding will allow for additional hours for contract services from Admiral Security Service.)</p>",
271 #2h,"Austin","Health and Human Resources","Department of Health","HB 2303 - Move Proposed Loan Repayment Funding to VDACS","","($450,000)",,,,,,,"Page 338, strike lines 21 through 24. ","<p>(This amendment removes $450,000 from the general fund in fiscal year 2026 proposed in the introduced budget to establish a Large Animal Veterinary Loan Repayment Program at the Department of Health. A companion amendment to the Department of Agriculture and Consumer Services appropriates the funding for the Large Animal Veterinarian Grant Program, pursuant to House Bill 2303.)</p>",
277 #14h,"Austin","Health and Human Resources","Department of Health","Opioid Antagonists Distribution Program",,,,,,,,,"Page 345, after line 14, insert:'J. The Virginia Department of Health shall maintain a list of all agencies and organizations that submit requests for and receive opioid antagonists through its distribution program. At least quarterly, the department shall submit a report to the Chairs of the House Appropriations Subcommittee on Health and Human Resources, House Health and Human Services Committee, Senate Finance and Appropriations Subcommittee on Health and Human Resources, and Senate Subcommittee on Health, and the Chair of the Virginia Opioid Abatement Authority with the following information: (i) name of the agency or organization, (ii) County or town/city service area, (iii) quantity, along with the specific formulation and dosage of opioid antagonist, requested by the agency or organization in its most recent order, and the date the request was made, and (iv) quantity, along with the specific formulation and dosage of opioid antagonist, received by the agency or organization in response to its most recent order, and the date the request was fulfilled.' ","<p>(This amendment adds language requiring the Virginia Department of Health to report on the distribution of opioid antagonists through its distribution program.) </p>",
360 #1h,"Austin","Natural and Historic Resources","Department of Conservation and Recreation","Staffing for Natural Bridge Campground","","$294,387",,,"","2.00","","","Page 474, after line 22, insert:'P. Out of the appropriation in this item, $294,387 the second year is provided for the operation of a new campground at Natural Bridge State Park.' ","<p>(This amendment provides $294,000 from the general fund in fiscal year 2026 and two positions to staff a new campground at Natural Bridge State Park. A companion amendment to Part 2 provides $3.1 million to construct the new campground facilities.)</p>",
371 #1h,"Austin","Natural and Historic Resources","Department of Historic Resources","Fincastle Museum","","$3,500,000",,,,,,,"Page 487, after line 47, insert:'EE. Out of the amounts in this item, $3,500,000 the second year from the general fund is provided to the County of Botetourt to support the site acquisition, design, and construction of the new Fincastle Museum.' ","<p>(This amendment provides $3.5 million from the general fund in fiscal year 2026 to Botetourt County to support the costs related to the relocation of the Fincastle Museum.)</p>",
371 #10h,"Austin","Natural and Historic Resources","Department of Historic Resources","Poplar Forest","","$365,000",,,,,,,"Page 487, after line 47, insert:'EE. Out of the amounts in this item, $365,000 the second year from the general fund is provided to the County of Bedford to support capital improvements at Poplar Forest.' ","<p>(This amendment provides $365,000 from the general fund in fiscal year 2026 to support capital improvements to enhance the visitor experience at Thomas Jefferson's Poplar Forest in Bedford County.)</p>",
404 #1h,"Austin","Public Safety and Homeland Security","Department of Emergency Management","Craig County Emergency Response System","","$1,958,000",,,,,,,"Page 520, after line 17, insert:'D. Out of the amounts in this item, $1,958,000 the second year from the general fund is provided to the County of Craig to support the upgrade of its emergency response system.' ","<p>(This amendment provides $1.9 million from the general fund in fiscal year 2026 to Craig County to support the upgrade of its emergency response system.)</p>",
438 #1h,"Austin","Transportation","Department of Transportation","Fund Study of 220 Corridor Roanoke to Martinsville (BRIC)","","$4,000,000",,,,,,,"Page 551, after line 40, insert:'O. Out of this appropriation, $4,000,000 the second year from the general fund is provided to complete a study of the 220 Corridor Roanoke to Martinsville for grade correction and alignment to enhance safety.' ","<p>(This amendment provides $4.0 million from the general fund in fiscal year 2026 to complete a study of a section of Route 220 approximately 55 miles long for grade correction and to address alignment issues.)</p>",
C-52.20 #2h,"Austin","Central Appropriations","Central Capital Outlay","DCR:  Natural Bridge State Park Campground","$3,100,000","",,,,,,,"Page 639, after line 5, insert:'199                  Department of Conservation and Recreation               Construct Campground at Natural Bridge State Park'. ","<p>(This amendment provides $3.1 million general fund the first year and adds a project to the state agency construction pool to construct a campground at Natural Bridge State Park. Specifically, this project would include the construction of 20 campsites (non-RV), three yurts, and a bathhouse, all in accordance with Phase II of the Natural Bridge State Park Master Plan.)</p>",
124 #29h,"Ballard","Education: Elementary and Secondary","Direct Aid to Public Education","Western Virginia Public Education Consortium","$50,000","$50,000",,,,,,,"Page 154, after line 7, insert:'Western Virginia Public Education Consortium $50,000 $50,000'Page 165, after line 26, insert:'GGG. Out of this appropriation, $50,000 the first year and $50,000 the second year from the general fund is provided for the Western Virginia Public Education Consortium.' ","<p>(This amendment provides $50,000 in each year to the Western Virginia Public Education Consortium.  These funds will be used for teacher recruitment and retention, professional development to improve instructional strategies. and assisting provisionally licensed teachers obtain full licensure.)</p>",
172 #1h,"Ballard","Education: Higher Education","Radford University","Radford - Recruit and Retain Nursing Faculty","","$2,083,000",,,"","13.00","","","","<p>(This amendment requests funding to offer competitive salaries to attract and Retain Nursing Faculty to educate the significant increase in nursing students at the university.)</p>",
214 #1h,"Ballard","Education: Higher Education","Virginia Polytechnic Institute and State University","VT - Unique Military Activities","","$702,152",,,,,,,"","<p>(This amendment requests funding to address costs specific to the operation of the military system and invest in the programmatic needs of the Corps of Cadets.)</p>",
438 #2h,"Ballard","Transportation","Department of Transportation","Provide Funding to Widen Route 100 ","","$370,000,000",,,,,,,"Page 551, after line 40, insert:'O. Out of this appropriation, $370,000,000 the second year from the general fund is provided to complete the  for the widening of State Route 100 to 4 lanes in Giles County.' ","<p>(This amendment provides $370.0 million general fund in fiscal year 2026 to support the cost of widening Route 100 to 4 lane and realign the road in Giles County. The estimate is based on a study completed by VDOT in 2023.)</p>",
438 #7h,"Ballard","Transportation","Department of Transportation","Fund Planning and Preliminary Engineering ","","$28,000,000",,,,,,,"Page 551, after line 40, insert:'O. Out of this appropriation, $28,000,000 the second year from the general fund is provided to complete the  for the widening of State Route 100 to 4 lanes in Giles County.' ","<p>(This amendment provides $28.0 million general fund in fiscal year 2026 to support the cost of the preliminary engineering required for widening Route 100 to 4 lane and realign the road in Giles County. The estimate is based on a study completed by VDOT in 2023.)</p>",
C-52.10 #8h,"Ballard","Central Appropriations","Central Capital Outlay","RHEA:  Replace Windows ","","$5,750,000",,,,,,,"Page 638, line 10, after 'year', insert:'and $5,750,000 the second year'.Page 638, after line 38, insert:'935               Roanoke Higher Education Authority                  Replace Windows at the Roanoke Higher Education Center'. ","<p>(This amendment provides $5.8 million the second year from the general fund to add a project to the higher education construction pool to replace the windows at the Roanoke Higher Education Center.)</p>",
114 #4h,"Batten","Commerce and Trade","Virginia Tourism Authority","Williamsburg African American Heritage Trail project","","$1,873,000",,,,,,,"Page 131, line 2, after 'N.' insert '1.'Page 131, after line 4, insert:'2. Out of this appropriation, $1,873,000 the second year from the general fund is provided for the City of Williamsburg to support the creation of an African American Heritage Trail project.' ","<p>(This amendment provides $1.9 million to the City of Williamsburg to support the creation of an African American Heritage Trail project.)</p>",
124 #27h,"Batten","Education: Elementary and Secondary","Direct Aid to Public Education","Bell-to-Bell Cell-Phone Free Policy ","","$1,000,000",,,,,,,"Page 154, after line 7, insert:'Cell Phone Free Education Grants $0 $1,000,000'Page 165, after line 26, insert:'GGG. Out of this appropriation, $1,000,000 the second year from the general fund is provided to support the Commonwealth's public school divisions' commitment to cell phone free policies.  These funds may be used to purchase equipment that support 'Bell-to-Bell' cell phone free policies.  School divisions seeking these grants shall submit a proposal to the Department of Education outlining the intended use of funds, the schools included and a projected number of students to be served.  The Department shall establish criteria for awarding these funds using a competitive process and shall prioritize at-risk students and schools.' ","<p>(This amendment is self-explanatory.)</p>",
125.10 #4h,"Batten","Education: Elementary and Secondary","Direct Aid to Public Education","James City County Pre-K Facility","","$9,000,000",,,,,,,"Page 209, after line 45, insert:'J. Out of this appropriation, $9,000,000 the second year from the general fund is provided for construction of two prekindergarten facilities in James City County.'  ","<p>(This amendment is self-explanatory.)</p>",
416 #1h,"Batten","Public Safety and Homeland Security","Department of State Police","HB 2334 - Two Year Inspections for New Vehicles","","$50,000",,,,,,,"","<p>(This amendment provides $50,000 from the general fund in fiscal year 2026 pursuant to House Bill 2334, which would extend from 12 months to 24 months the inspection validity period for new vehicles. This amendment is a placeholder until a fiscal impact statement for the legislation is produced.)</p>",
102 #16h,"Bennett-Parker","Commerce and Trade","Department of Housing and Community Development","Virginia Housing Trust Fund","","$125,000,000",,,,,,,"Page 109, line 21, strike second '$87,500,000' and insert '$212,500,000'.Page 109, line 26, after 'housing.' insert:'The department shall prioritize projects close to jobs and high-quality public transit.'. ","<p>(This amendment provides an additional $125.0 million from the Virginia Housing Trust Fund, bringing the second year deposit for this program to $212.5 million.)</p>",
125 #11h,"Bennett-Parker","Education: Elementary and Secondary","Direct Aid to Public Education","HB 1958 - Free School Breakfast","","$40,311,705",,,,,,,"Page 201, after line 26, insert:'46. Expand No Cost School Breakfast StatewideOut of this appropriation, $40,311,705 the second year from the general fund is provided to support the cost of providing school breakfast to Virginia public school students at no cost.' ","<p>(This amendment provides $40.3 million from the general fund the second year to support the cost of providing free school breakfast for students enrolled in Virginia public schools. The cost estimate was provided by a 2024 General Assembly report and the amendment supports the cost associated with House Bill 1958.)</p>",
324 #5h,"Bennett-Parker","Health and Human Resources","Department of Social Services","Raise SNAP Minimum Benefit for Seniors","","$15,000,000",,,,,,,"Page 437, after line 11, insert:'K. Out of this appropriation, $15,000,000 the second year from the general fund is provided to raise the Supplemental Nutrition Assistance Program (SNAP) minimum benefit for seniors from $23 to $50.' ","<p>(This amendment is self-explanatory.)</p>",
365 #12h,"Bennett-Parker","Natural and Historic Resources","Department of Environmental Quality","Alexandria CSO","","$50,000,000",,,,,,,"Page 481, after line 5, insert:'P. Out of the amounts in this item, $50,000,000 the second year from the general fund is provided to the City of Alexandria, Virginia Sanitation Authority to pay a portion of the costs of its combined sewer overflow control project.' ","<p>(This amendment provides $50 million from the general fund in fiscal year 2026 to the City of Alexandria, Virginia Sanitation Authority to support its combined sewer overflow control project.)</p>",
371 #15h,"Bennett-Parker","Natural and Historic Resources","Department of Historic Resources","Douglass Cemetery","","$500,000",,,,,,,"Page 487, after line 47, insert:'EE. Out of the amounts in this item, $500,000 the second year from the general fund is provided to the City of Alexandria to support the restoration of Douglass Cemetery.' ","<p>(This amendment provides $500,000 from the general fund in fiscal year 2026 to support the restoration of Douglass Cemetery in Alexandria.)</p>",
64 #1h,"Bloxom","Administration","Compensation Board","Underfunded Assistant Commonwealth's Attorney and Support Positions","","$354,290",,,,,,,"Page 65, after line 47, insert:'L. Out of this appropriation, $354,290 the second year from the general fund is provided to restore salary funding to 52 underfunded Assistant Commonwealth's Attorney positions and 19 paralegal and administrative support positions.' ","<p>(This amendment provides $354,290 the second year from the general fund to restore state funding for 52 Assistant Commonwealth's Attorney positions and 19 support positions.)</p>",
96 #2h,"Bloxom","Agriculture and Forestry","Department of Forestry","Forest Sustainability Fund","","$2,500,000",,,,,,,"Page 101, line 39, after 'first year' insert 'and $2,500,000 the second year'. ","<p>(This amendment provides $2.5 million from the general fund in fiscal year 2026 for deposit in the Forest Sustainability Fund.)</p>",
