fiscal_year,secretariat,agency,program,service_area,appropriated_amount,total_spent_ytd,remaining_balance,execution_rate,number_of_unique_recipients,top_10_recipients,category_breakdown,match_type,match_score
2025,ADMINISTRATION,,,Campaign Finance Disclsre Adm,22956957.0,287926.14,22669030.86,0.01254199935993259,3,"[""nan"", ""Muse GME Enterprises LLC"", ""MISCELLANEOUS ADJUSTMENT""]","{""PERSONAL SERVICES"": 205, ""CONTRACTUAL SERVICES"": 9, ""SUPPLIES AND MATERIALS"": 1}",strict,1.0
2025,ADMINISTRATION,,,Drinking Water Testing Srvcs,50306598.0,881570.21,49425027.79,0.017523948051506085,20,"[""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""Colonial Scientific Inc"", ""Accustandard lnc"", ""Clean Harbors Environmental Services"", ""FISHER SCIENTIFIC COMPANY LLC"", ""IDEXX DISTRIBUTION INC"", ""Environmental Resource Associates"", ""VWR FUNDING INC"", ""Commonwealth of Virginia State Police""]","{""PERSONAL SERVICES"": 250, ""SUPPLIES AND MATERIALS"": 124, ""CONTINUOUS CHARGES"": 78, ""CONTRACTUAL SERVICES"": 57, ""EQUIPMENT"": 2}",strict,1.0
2025,ADMINISTRATION,,,Elect Unifrmty/Legl/Qual Assur,22956957.0,1228252.32,21728704.68,0.053502401036862164,11,"[""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""22nd Century Technologies Inc"", ""Orange,Angela Elizabeth"", ""SHI International Corp"", ""Liskey & Sons Printing Inc"", ""Muse GME Enterprises LLC"", ""VIRGINIA CORRECTIONAL ENTERPRISES"", ""MANSFIELD OIL Co of Gainesville Inc"", ""Young""]","{""PERSONAL SERVICES"": 245, ""CONTRACTUAL SERVICES"": 80, ""SUPPLIES AND MATERIALS"": 3}",strict,1.0
2025,ADMINISTRATION,,,General Management & Direction,6024931.0,4749264.47,1275666.5300000003,0.7882686905459996,57,"[""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""Elavon Inc"", ""Robert Half International"", ""CANON USA INC"", ""Virginia Information Technologies Agency"", ""Canon Solutions America Inc"", ""Bank of America"", ""Computer Aid Inc"", ""DESOCIO,ROBYN M""]","{""PERSONAL SERVICES"": 927, ""CONTRACTUAL SERVICES"": 489, ""CONTINUOUS CHARGES"": 162, ""SUPPLIES AND MATERIALS"": 145, ""EQUIPMENT"": 82, ""TRANSFER PAYMENTS"": 7}",strict,1.0
2025,ADMINISTRATION,,,Information Technology Svcs,7327840.0,1381225.34,5946614.66,0.18849010622502677,12,"[""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""Virginia Information Technologies Agency"", ""Computer Aid Inc"", ""CANON USA INC"", ""Bank of America"", ""Commonwealth of Virginia State Police"", ""CDWG Government"", ""TERMINALFOUR Inc"", ""VIRGINIA DEPARTMENT OF CORRECTIONS""]","{""PERSONAL SERVICES"": 619, ""CONTRACTUAL SERVICES"": 119, ""CONTINUOUS CHARGES"": 47, ""SUPPLIES AND MATERIALS"": 31, ""EQUIPMENT"": 21}",strict,1.0
2025,ADMINISTRATION,,,Labtry Accreditation Services,50306598.0,554029.68,49752568.32,0.011013061944677716,17,"[""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""MCCORD,CARLA E"", ""Enterprise Holdings Inc"", ""22nd Century Technologies Inc"", ""Nancy S Saylor"", ""MCCORD"", ""HARRIS"", ""SMITH,KAY JOHNSON"", ""CASALENA,MICHAEL R""]","{""PERSONAL SERVICES"": 237, ""CONTINUOUS CHARGES"": 62, ""CONTRACTUAL SERVICES"": 54, ""SUPPLIES AND MATERIALS"": 16, ""EQUIPMENT"": 1}",strict,1.0
2025,ADMINISTRATION,,,Newborn Screening Lbtry Srvcs,50306598.0,9551327.540000001,40755270.46,0.1898623226321128,65,"[""nan"", ""Colonial Scientific Inc"", ""MISCELLANEOUS ADJUSTMENT"", ""Life Technologies Corporation"", ""Athena Consulting LLC"", ""Illumina Inc"", ""PHENOMENEX INC"", ""VWR FUNDING INC"", ""DiaSorin"", ""Revvity Health Sciences Inc""]","{""SUPPLIES AND MATERIALS"": 403, ""CONTRACTUAL SERVICES"": 325, ""PERSONAL SERVICES"": 240, ""CONTINUOUS CHARGES"": 41, ""EQUIPMENT"": 17}",strict,1.0
2025,ADMINISTRATION,,,Parking Facilities Management,61649076.0,4338727.81,57310348.19,0.07037782382983322,32,"[""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""City of Richmond"", ""VIRGINIA ELECTRIC AND POWER COMPANY"", ""Regional Marketing Concepts Inc"", ""Virginia Information Technologies Agency"", ""Dunbar PLLC"", ""GOLDEN GATE SERVICE INC"", ""W & H Resources Inc"", ""BNBL II Inc""]","{""CONTINUOUS CHARGES"": 263, ""CONTRACTUAL SERVICES"": 243, ""PERSONAL SERVICES"": 210, ""SUPPLIES AND MATERIALS"": 50, ""OBLIGATIONS"": 3, ""TRANSFER PAYMENTS"": 2, ""EQUIPMENT"": 1, ""PROPERTY IMPROVEMENTS"": 1}",strict,1.0
2025,ADMINISTRATION,,,Seat of Government Mail Svcs,61649076.0,657429.25,60991646.75,0.010664056830308372,9,"[""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""Virginia Information Technologies Agency"", ""Bank of America"", ""The Pitney Bowes Bank Inc"", ""Pitney Bowes Inc"", ""US Postal Service"", ""Pitney Bowes Global Financial Services"", ""Mike Butler""]","{""PERSONAL SERVICES"": 222, ""CONTRACTUAL SERVICES"": 152, ""SUPPLIES AND MATERIALS"": 40, ""CONTINUOUS CHARGES"": 32}",strict,1.0
2025,ADMINISTRATION,,,Statewide Building Management,61649076.0,36510070.26,25139005.740000002,0.5922241277387514,91,"[""MISCELLANEOUS ADJUSTMENT"", ""City of Richmond"", ""nan"", ""VIRGINIA ELECTRIC AND POWER COMPANY"", ""Mechanical Solutions LLC"", ""RE REPLACEMENT PARTS"", ""W & H Resources Inc"", ""Regional Marketing Concepts Inc"", ""Siemens Industry Inc"", ""Virginia Information Technologies Agency""]","{""CONTRACTUAL SERVICES"": 1048, ""CONTINUOUS CHARGES"": 738, ""SUPPLIES AND MATERIALS"": 732, ""PERSONAL SERVICES"": 397, ""EQUIPMENT"": 46, ""PROPERTY IMPROVEMENTS"": 8, ""TRANSFER PAYMENTS"": 8}",strict,1.0
2025,ADMINISTRATION,,,Statewide Laboratory Services,50306598.0,31283515.54,19023082.46,0.6218571078887107,223,"[""MISCELLANEOUS ADJUSTMENT"", ""nan"", ""Colonial Scientific Inc"", ""Athena Consulting LLC"", ""REMEL INC"", ""VWR FUNDING INC"", ""FISHER SCIENTIFIC COMPANY LLC"", ""Computer Aid Inc"", ""Hardy Media dba Hardy Diagnostics"", ""BIO-RAD LABORATORIES INC""]","{""SUPPLIES AND MATERIALS"": 3102, ""CONTRACTUAL SERVICES"": 2415, ""PERSONAL SERVICES"": 1591, ""CONTINUOUS CHARGES"": 362, ""EQUIPMENT"": 105, ""TRANSFER PAYMENTS"": 5}",strict,1.0
2025,ADMINISTRATION,,,Statewide Procurement Services,67972051.0,18676068.36,49295982.64,0.274760994927165,33,"[""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""Virginia Information Technologies Agency"", ""Abacus Corporation"", ""Computer Aid Inc"", ""CGI Technologies & Solutions CGI"", ""Commonwealth of Virginia State Police"", ""Virginia Department of Motor Vehicles"", ""Bank of America"", ""VIRGINIA CORRECTIONAL ENTERPRISES""]","{""PERSONAL SERVICES"": 740, ""CONTINUOUS CHARGES"": 277, ""CONTRACTUAL SERVICES"": 267, ""SUPPLIES AND MATERIALS"": 63, ""EQUIPMENT"": 4, ""TRANSFER PAYMENTS"": 2}",strict,1.0
2025,ADMINISTRATION,,,Statewide Vehicle Mgmt Svcs,19964863.0,17635198.41,2329664.59,0.883311766777463,23,"[""MISCELLANEOUS ADJUSTMENT"", ""nan"", ""MANSFIELD OIL Co of Gainesville Inc"", ""Banc of  America Public Capital Corp"", ""Virginia Information Technologies Agency"", ""King & George LLC"", ""Hall Automotive LLC"", ""Bank of America"", ""Blossman Gas Inc"", ""Regional Marketing Concepts Inc""]","{""PERSONAL SERVICES"": 231, ""SUPPLIES AND MATERIALS"": 177, ""CONTINUOUS CHARGES"": 135, ""CONTRACTUAL SERVICES"": 107, ""EQUIPMENT"": 26, ""TRANSFER PAYMENTS"": 2}",strict,1.0
2025,ADMINISTRATION,,,Stwde Coop Procure/Distrib Svc,67972051.0,31094061.09,36877989.91,0.4574536244316065,119,"[""Riverside Paper Supply Company INC"", ""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""Fast Freight Systems Inc"", ""Robbins Sales Co Inc"", ""VA Department for the Blind and Vision I"", ""Wm R Hill III"", ""MBK Virginia Enterprises LLC"", ""Bio-Medic Health Services Inc"", ""First Source Supply Inc""]","{""SUPPLIES AND MATERIALS"": 1837, ""CONTRACTUAL SERVICES"": 333, ""PERSONAL SERVICES"": 270, ""CONTINUOUS CHARGES"": 129, ""EQUIPMENT"": 9}",strict,1.0
2025,ADMINISTRATION,,,Stwde Engineer/Architect Svcs,61649076.0,3309375.6,58339700.4,0.053680862954053034,14,"[""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""Virginia Information Technologies Agency"", ""Bank of America"", ""CANON USA INC"", ""Computer Aid Inc"", ""Canon Solutions America Inc"", ""Commonwealth of Virginia State Police"", ""JTS LLC"", ""22nd Century Technologies Inc""]","{""PERSONAL SERVICES"": 457, ""CONTRACTUAL SERVICES"": 181, ""CONTINUOUS CHARGES"": 112, ""SUPPLIES AND MATERIALS"": 81, ""EQUIPMENT"": 8}",strict,1.0
2025,ADMINISTRATION,,,Stwde Leasing & Disposal Svcs,73099266.0,67834816.89,5264449.109999999,0.927982189178206,498,"[""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""Poe & Cronk Real Estate Group"", ""INTERSTATE CORPORATE CENTER OWNER LLC"", ""Robert Brammer"", ""KILO DELTA LLC"", ""50 JERMANTOWN LIMITED PARTNERSHIP"", ""Hampton Roads Workforce Council"", ""Summit Development Co LLC"", ""Henrico County Public Schools""]","{""CONTINUOUS CHARGES"": 4696, ""PERSONAL SERVICES"": 296, ""CONTRACTUAL SERVICES"": 160, ""SUPPLIES AND MATERIALS"": 39, ""EQUIPMENT"": 3}",strict,1.0
2025,ADMINISTRATION,,,Stwde Voter Registratn Sys Svc,22956957.0,8781667.31,14175289.69,0.38252749743792264,13,"[""Computer Aid Inc"", ""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""SHI International Corp"", ""ThunderCat Technology LLC"", ""Virginia Department of Motor Vehicles"", ""The Canton Group"", ""U S DEPARTMENT OF COMMERCE"", ""Environmental Systems Research Institute"", ""TERMINALFOUR Inc""]","{""CONTRACTUAL SERVICES"": 530, ""PERSONAL SERVICES"": 263, ""EQUIPMENT"": 12, ""CONTINUOUS CHARGES"": 4, ""SUPPLIES AND MATERIALS"": 1}",strict,1.0
2025,ADMINISTRATION,,,Surplus Property Programs,67972051.0,1260449.57,66711601.43,0.018543644798948322,29,"[""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""Virginia Information Technologies Agency"", ""VIRGINIA ELECTRIC AND POWER COMPANY"", ""MANSFIELD OIL Co of Gainesville Inc"", ""Manheim Remarketing Inc"", ""Athena Consulting LLC"", ""CANON USA INC"", ""APPALACHIAN POWER CO"", ""City of Richmond""]","{""PERSONAL SERVICES"": 450, ""CONTRACTUAL SERVICES"": 223, ""CONTINUOUS CHARGES"": 212, ""SUPPLIES AND MATERIALS"": 111, ""PROPERTY IMPROVEMENTS"": 5, ""EQUIPMENT"": 5}",strict,1.0
2025,ADMINISTRATION,,,Training Services,6024931.0,67871.62,5957059.38,0.011265128181550958,5,"[""Bank of America"", ""FPLC Richmond Sub LLC"", ""Forest Avenue Hotel Assoc LLC"", ""Woods Rogers PLC"", ""Virginia Sherrifs Institute Inc""]","{""CONTRACTUAL SERVICES"": 5, ""SUPPLIES AND MATERIALS"": 2}",strict,1.0
2025,ADMINISTRATION,,,Voter Services,22956957.0,1269994.12,21686962.88,0.05532066466823108,8,"[""nan"", ""Siddall Communications LLC"", ""MISCELLANEOUS ADJUSTMENT"", ""Alliant Global Strategies Inc"", ""PRUETT"", ""Elaine D Hernandez"", ""Jill Owens Brick"", ""Liskey & Sons Printing Inc""]","{""PERSONAL SERVICES"": 187, ""CONTRACTUAL SERVICES"": 24, ""SUPPLIES AND MATERIALS"": 1, ""EQUIPMENT"": 1}",strict,1.0
2025,AGRICULTURE AND FORESTRY,,,Econ Dev Rsrch Planning &Coord,3700000.0,300000.0,3400000.0,0.08108108108108109,1,"[""COUNTY OF ROCKBRIDGE""]","{""TRANSFER PAYMENTS"": 1}",strict,1.0
2025,AGRICULTURE AND FORESTRY,,,Fin Asst-Forest Land Mgmt,49168648.0,4218935.18,44949712.82,0.08580539330672667,197,"[""MISCELLANEOUS ADJUSTMENT"", ""Green Infrastructure Center Inc"", ""Earth Sangha"", ""Friends of the James River Park"", ""FLOYD COUNTY VOLUNTEER FIRE DEPARTMENT"", ""Virginia Urban Forest Council"", ""BLACK DIAMOND RESOURCE CONSERVATION AND"", ""Rappahannock County Sheriffs Office"", ""NEW RIVER HIGHLANDS RESOURCE CONSERVATIO"", ""TOWN OF STUART""]","{""TRANSFER PAYMENTS"": 260, ""CONTRACTUAL SERVICES"": 6, ""SUPPLIES AND MATERIALS"": 2}",strict,1.0
2025,AGRICULTURE AND FORESTRY,,,Fin Asst-Horse Breedng Indstry,3700000.0,72500.0,3627500.0,0.019594594594594596,2,"[""Virginia Harness Horse Association"", ""Virginia Thoroughbred Association""]","{""TRANSFER PAYMENTS"": 2}",strict,1.0
2025,AGRICULTURE AND FORESTRY,,,Forst Consrv/Wldfre/Wtrshd Svc,49168648.0,22383420.02,26785227.98,0.45523765510086833,573,"[""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""VIRGINIA ELECTRIC AND POWER COMPANY"", ""Department of General Services"", ""Town of Abingdon Virginia"", ""BANK OF AMERICA"", ""City of Salem"", ""Virginia Electric and Power Company"", ""Verizon Virginia Inc - Network Services"", ""Albemarle County Service Authority""]","{""PERSONAL SERVICES"": 1706, ""CONTRACTUAL SERVICES"": 1067, ""CONTINUOUS CHARGES"": 832, ""SUPPLIES AND MATERIALS"": 547, ""TRANSFER PAYMENTS"": 341, ""EQUIPMENT"": 177, ""PROPERTY IMPROVEMENTS"": 16}",strict,1.0
2025,AGRICULTURE AND FORESTRY,,,Reforst Incent-Pri Forest Land,49168648.0,3383733.83,45784914.17,0.06881893173064267,792,"[""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""Tharpe Land & Timber LLC"", ""STEVEN RICHARD PETER"", ""FRITH EQUIPMENT CORP."", ""MACK BARNES"", ""MARK T BOWLING"", ""Ward Burton Wildlife Foundation"", ""WORTH HARRIS CARTER JR IRRV DYNASTY TR"", ""BRIAN J WILLIAMS""]","{""TRANSFER PAYMENTS"": 862, ""PERSONAL SERVICES"": 248, ""CONTRACTUAL SERVICES"": 26, ""SUPPLIES AND MATERIALS"": 19, ""CONTINUOUS CHARGES"": 4, ""EQUIPMENT"": 2}",strict,1.0
2025,AGRICULTURE AND FORESTRY,,,Tree Restre/Imprv/Nurs/St Land,49168648.0,3336588.78,45832059.22,0.06786008799753859,115,"[""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""VIRGINIA ELECTRIC AND POWER COMPANY"", ""Department of General Services"", ""MANSFIELD OIL Co of Gainesville Inc"", ""Elavon Inc"", ""Virginia Information Technologies Agency"", ""Craig-Botetourt Electric Cooperative"", ""Zamora Familia Labor LLC"", ""Silver Mountain Equipment Inc""]","{""PERSONAL SERVICES"": 923, ""SUPPLIES AND MATERIALS"": 304, ""CONTRACTUAL SERVICES"": 273, ""CONTINUOUS CHARGES"": 184, ""EQUIPMENT"": 31, ""TRANSFER PAYMENTS"": 16, ""PROPERTY IMPROVEMENTS"": 12}",strict,1.0
2025,COMMERCE AND TRADE,,,Administrative Services,7793263.0,8581070.34,-787807.3399999999,1.1010882527639578,2,"[""Fort Monroe Authority"", ""MISCELLANEOUS ADJUSTMENT""]","{""TRANSFER PAYMENTS"": 13, ""CONTINUOUS CHARGES"": 3}",strict,1.0
2025,COMMERCE AND TRADE,,,Coal Env Protect&Land Reclam,45022427.0,17959073.91,27063353.09,0.39889173255808713,90,"[""MISCELLANEOUS ADJUSTMENT"", ""nan"", ""Virginia Information Technologies Agency"", ""Potesta & Associates Inc"", ""ENVIRONMENTAL MONITORING INC"", ""Town of Big Stone Gap"", ""Hydro Quick Cleaning Systems LLC"", ""Southwest Sanitation Co Inc"", ""Basic Rent A Car Incorporated"", ""BRISTOL TELEPHONE AND SECURITY INC""]","{""PERSONAL SERVICES"": 1771, ""CONTRACTUAL SERVICES"": 787, ""TRANSFER PAYMENTS"": 335, ""SUPPLIES AND MATERIALS"": 270, ""EQUIPMENT"": 132, ""CONTINUOUS CHARGES"": 108, ""PROPERTY IMPROVEMENTS"": 4}",strict,1.0
2025,COMMERCE AND TRADE,,,Coal Worker Safety,45022427.0,2158605.11,42863821.89,0.04794510766822943,46,"[""MISCELLANEOUS ADJUSTMENT"", ""nan"", ""APPALACHIAN POWER CO"", ""Virginia Information Technologies Agency"", ""Rebecca L Henry"", ""Town of Big Stone Gap"", ""Southwest Sanitation Co Inc"", ""Hydro Quick Cleaning Systems LLC"", ""Kentucky Utilities Company"", ""BRISTOL TELEPHONE AND SECURITY INC""]","{""PERSONAL SERVICES"": 833, ""CONTRACTUAL SERVICES"": 443, ""SUPPLIES AND MATERIALS"": 267, ""EQUIPMENT"": 172, ""CONTINUOUS CHARGES"": 115, ""TRANSFER PAYMENTS"": 99, ""PROPERTY IMPROVEMENTS"": 2}",strict,1.0
2025,COMMERCE AND TRADE,,,Gas/Oil Envir Protct/Wrkr Safe,45022427.0,551320.31,44471106.69,0.012245459579511342,16,"[""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""Virginia Information Technologies Agency"", ""DICKENSON COUNTY CIRCUIT COURT"", ""Buchanan County Virginia"", ""TAZEWELL COUNTY CIRCUIT COURT CLERK"", ""RUSSELL COUNTY CIRCUIT COURT CLERK"", ""Commonwealth of Va Dept of the Treasury"", ""The Joachim Group CPAs & Consultants LLC"", ""Basic Rent A Car Incorporated""]","{""PERSONAL SERVICES"": 589, ""CONTRACTUAL SERVICES"": 116, ""SUPPLIES AND MATERIALS"": 35, ""TRANSFER PAYMENTS"": 12, ""CONTINUOUS CHARGES"": 7, ""EQUIPMENT"": 7}",strict,1.0
2025,COMMERCE AND TRADE,,,General Management & Direction,5866474.0,2329778.52,3536695.48,0.3971343808904633,53,"[""MISCELLANEOUS ADJUSTMENT"", ""nan"", ""MANSFIELD OIL Co of Gainesville Inc"", ""Virginia Information Technologies Agency"", ""Bank of America"", ""Town of Big Stone Gap"", ""Department of General Services"", ""Southwest Sanitation Co Inc"", ""Hydro Quick Cleaning Systems LLC"", ""Kentucky Utilities Company""]","{""PERSONAL SERVICES"": 845, ""CONTRACTUAL SERVICES"": 274, ""SUPPLIES AND MATERIALS"": 177, ""CONTINUOUS CHARGES"": 92, ""EQUIPMENT"": 62, ""TRANSFER PAYMENTS"": 14, ""PROPERTY IMPROVEMENTS"": 2}",strict,1.0
2025,COMMERCE AND TRADE,,,Geologic/Mineral Res Investgtn,45022427.0,1152559.83,43869867.17,0.025599682353863333,27,"[""MISCELLANEOUS ADJUSTMENT"", ""nan"", ""Athena Consulting LLC"", ""Virginia Information Technologies Agency"", ""Ray Lund"", ""Latane,Virginia Margaret"", ""HAWKINS,DAVID W"", ""Fragomen Del Rey Bernsen & Loewy LLP"", ""MANGUM,HOLLY E"", ""HELLER,MATTHEW J""]","{""PERSONAL SERVICES"": 1011, ""CONTRACTUAL SERVICES"": 290, ""TRANSFER PAYMENTS"": 115, ""SUPPLIES AND MATERIALS"": 57, ""EQUIPMENT"": 20, ""CONTINUOUS CHARGES"": 6}",strict,1.0
2025,COMMERCE AND TRADE,,,Mineral Mine Protect/Wrkr Safe,45022427.0,1247672.28,43774754.72,0.027712239502326253,21,"[""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""Athena Consulting LLC"", ""Virginia Information Technologies Agency"", ""MOORE,CALE E"", ""SAUNDERS,PAUL E"", ""Commonwealth of Va Dept of the Treasury"", ""Commonwealth of Virginia"", ""HUTCHESON,WILLIAM BRUCE"", ""SMITH,MICHAEL F""]","{""PERSONAL SERVICES"": 700, ""CONTRACTUAL SERVICES"": 153, ""SUPPLIES AND MATERIALS"": 47, ""TRANSFER PAYMENTS"": 44, ""EQUIPMENT"": 11, ""CONTINUOUS CHARGES"": 5}",strict,1.0
2025,COMMERCE AND TRADE,,,Tourist Promotion Services,37284929.0,28741354.63,8543574.370000001,0.7708571640300026,2,"[""Virginia Tourism Authority"", ""MISCELLANEOUS ADJUSTMENT""]","{""TRANSFER PAYMENTS"": 13, ""CONTINUOUS CHARGES"": 3}",strict,1.0
2025,EDUCATION,Christopher Newport University,HE Auxiliary Enterprises,Food Services,83343033.0,12721668.7,70621364.3,0.15264225745180163,49,"[""Sysco Hampton Roads"", ""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""Golden State Foods"", ""Coca Cola Bottling Co Consolidated"", ""Narrow Gate Associates Inc"", ""Flowers Baking Co of Norfolk LLC"", ""INTEGRITY STAFFING SERVICES INC"", ""Schmidt Baking Company Incorporated"", ""EVER FRESH SUSHI INC""]","{""SUPPLIES AND MATERIALS"": 2984, ""CONTRACTUAL SERVICES"": 479, ""PERSONAL SERVICES"": 328, ""CONTINUOUS CHARGES"": 75, ""EQUIPMENT"": 19, ""OBLIGATIONS"": 4, ""TRANSFER PAYMENTS"": 4}",fuzzy,0.9333333333333332
